INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
264262260,02/26/2023,18:06:00,QUEENS,OUTSIDE,113,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,BLACK,25-44,F,BLACK,1044258,189029,40.685317,-73.78363,POINT (-73.78363 40.685317)
263429758,02/11/2023,02:32:00,QUEENS,OUTSIDE,114,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1006592,218612,40.766689,-73.919342,POINT (-73.919342 40.766689)
263692952,02/15/2023,17:20:00,BRONX,OUTSIDE,46,0,STREET,(null),Y,<18,M,BLACK,18-24,M,WHITE HISPANIC,1010638,248020,40.8473932,-73.90462205,POINT (-73.90462205 40.8473932)
263211696,02/07/2023,04:34:00,BRONX,OUTSIDE,43,0,STREET,(null),N,(null),(null),(null),18-24,M,ASIAN / PACIFIC ISLANDER,1018929,242358,40.831826,-73.87468,POINT (-73.87468 40.831826)
262145575,01/18/2023,16:49:00,QUEENS,OUTSIDE,105,0,STREET,(null),N,<18,M,BLACK,<18,F,BLACK,1054984,193094,40.696395,-73.744911,POINT (-73.744911 40.696395)
263065673,02/04/2023,19:48:00,MANHATTAN,OUTSIDE,28,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,999073,230985,40.80066396,-73.94646071,POINT (-73.94646071 40.80066396)
263889115,02/18/2023,21:05:00,BROOKLYN,OUTSIDE,71,0,STREET,(null),N,18-24,M,BLACK,18-24,F,BLACK,995628,181599,40.665118,-73.958987,POINT (-73.958987 40.665118)
265124475,03/14/2023,09:49:00,MANHATTAN,OUTSIDE,20,0,STREET,COMMERCIAL BLDG,N,18-24,M,BLACK,<18,M,BLACK,988755,221899,40.775738,-73.983734,POINT (-73.983734 40.775738)
265354835,03/19/2023,23:48:00,BRONX,INSIDE,47,0,COMMERCIAL,GROCERY/BODEGA,N,(null),(null),(null),18-24,M,BLACK,1025687,268586,40.903785,-73.850098,POINT (-73.850098 40.903785)
263357365,02/07/2023,16:40:00,BROOKLYN,OUTSIDE,70,0,OTHER,(null),Y,(null),(null),(null),18-24,M,BLACK,998839,168942,40.630373,-73.947438,POINT (-73.947438 40.630373)
264940966,03/10/2023,19:55:00,QUEENS,OUTSIDE,109,0,STREET,(null),N,25-44,M,BLACK,25-44,M,WHITE,1029063,226839,40.78918313,-73.83816748,POINT (-73.83816748 40.78918313)
263503175,02/10/2023,14:29:00,BRONX,OUTSIDE,48,0,STREET,FAST FOOD,Y,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1013973,247558,40.846117,-73.892569,POINT (-73.892569 40.846117)
265291114,03/17/2023,16:20:00,QUEENS,OUTSIDE,103,0,STREET,(null),N,(null),(null),(null),25-44,M,WHITE HISPANIC,1044674,197851,40.709526,-73.78205,POINT (-73.78205 40.709526)
261958837,01/15/2023,14:06:00,BROOKLYN,OUTSIDE,81,0,STREET,MULTI DWELL - APT BUILD,N,25-44,M,BLACK,25-44,M,BLACK,1002071,192097,40.693921,-73.935732,POINT (-73.935732 40.693921)
263692953,02/15/2023,06:00:00,QUEENS,OUTSIDE,110,0,DWELLING,PVT HOUSE,N,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1025013,212350,40.749434,-73.852878,POINT (-73.852878 40.749434)
265584225,03/23/2023,18:42:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1009904,180751,40.662761,-73.907529,POINT (-73.907529 40.662761)
261843719,01/11/2023,21:15:00,QUEENS,INSIDE,104,0,DWELLING,MULTI DWELL - APT BUILD,Y,(null),(null),(null),18-24,F,WHITE HISPANIC,1010041,203018,40.723879,-73.906951,POINT (-73.906951 40.723879)
262268556,01/20/2023,10:20:00,QUEENS,OUTSIDE,100,0,STREET,(null),N,<18,M,BLACK,<18,M,BLACK,1035623,153051,40.586619,-73.815039,POINT (-73.815039 40.586619)
263482956,02/12/2023,01:13:00,MANHATTAN,OUTSIDE,33,0,OTHER,HOSPITAL,N,(null),(null),(null),25-44,M,BLACK,1000795,245489,40.840472,-73.940202,POINT (-73.940202 40.840472)
264689065,03/07/2023,20:07:00,BRONX,OUTSIDE,49,0,STREET,(null),N,(null),(null),(null),18-24,M,WHITE,1021301,252477,40.859588,-73.866056,POINT (-73.866056 40.859588)
263349965,02/09/2023,17:37:00,MANHATTAN,OUTSIDE,14,0,STREET,(null),Y,18-24,M,BLACK,18-24,M,BLACK,987341,215631,40.75853318,-73.98884266,POINT (-73.98884266 40.75853318)
264617699,03/05/2023,17:00:00,QUEENS,OUTSIDE,102,0,OTHER,HOSPITAL,N,(null),(null),(null),45-64,M,BLACK,1030953,194101,,,
265006011,03/11/2023,13:45:00,BROOKLYN,INSIDE,67,0,DWELLING,MULTI DWELL - APT BUILD,N,(null),(null),(null),25-44,F,BLACK,1002297,175828,40.649267,-73.934961,POINT (-73.934961 40.649267)
262747866,01/30/2023,22:50:00,BRONX,OUTSIDE,47,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,1030896,263028,40.888503,-73.831295,POINT (-73.831295 40.888503)
265056548,03/13/2023,04:30:00,BRONX,OUTSIDE,43,0,STREET,(null),N,25-44,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,1017346,241610,40.829779,-73.880406,POINT (-73.880406 40.829779)
265744133,03/27/2023,11:08:00,BROOKLYN,OUTSIDE,88,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK,989926,192765,40.695772,-73.979528,POINT (-73.979528 40.695772)
265354835,03/19/2023,23:48:00,BRONX,INSIDE,47,0,COMMERCIAL,GROCERY/BODEGA,Y,(null),(null),(null),18-24,M,BLACK,1025687,268586,40.903785,-73.850098,POINT (-73.850098 40.903785)
266069023,03/31/2023,22:25:00,QUEENS,OUTSIDE,114,0,STREET,(null),Y,(null),(null),(null),18-24,M,BLACK,1008816,219240,40.768408,-73.911311,POINT (-73.911311 40.768408)
261528414,01/07/2023,01:10:00,BRONX,OUTSIDE,44,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK HISPANIC,1008692,243109,40.83392,-73.911672,POINT (-73.911672 40.83392)
263503175,02/10/2023,14:29:00,BRONX,OUTSIDE,48,0,STREET,FAST FOOD,Y,45-64,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1013973,247558,40.846117,-73.892569,POINT (-73.892569 40.846117)
265461076,03/21/2023,22:01:00,BRONX,OUTSIDE,41,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1013068,238404,40.82099248,-73.89588027,POINT (-73.89588027 40.82099248)
265246482,03/16/2023,22:08:00,BROOKLYN,OUTSIDE,77,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1003788,183567,40.670507,-73.929566,POINT (-73.929566 40.670507)
265673021,03/25/2023,14:52:00,STATEN ISLAND,OUTSIDE,120,0,STREET,MULTI DWELL - APT BUILD,Y,(null),(null),(null),25-44,M,BLACK,961577,163519,40.61547,-74.081663,POINT (-74.081663 40.61547)
262334289,01/21/2023,04:00:00,QUEENS,OUTSIDE,110,0,STREET,BAR/NIGHT CLUB,N,(null),(null),(null),25-44,F,BLACK,1016250,208615,40.739221,-73.884524,POINT (-73.884524 40.739221)
264206295,02/25/2023,00:55:00,BROOKLYN,INSIDE,75,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,F,WHITE HISPANIC,1012777,182476,40.667487,-73.897168,POINT (-73.897168 40.667487)
263503175,02/10/2023,14:29:00,BRONX,OUTSIDE,48,0,STREET,FAST FOOD,Y,45-64,M,WHITE HISPANIC,18-24,M,BLACK,1013973,247558,40.846117,-73.892569,POINT (-73.892569 40.846117)
261307947,01/03/2023,01:47:00,BROOKLYN,OUTSIDE,67,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1007548,179060,40.658126,-73.916026,POINT (-73.916026 40.658126)
265124473,03/13/2023,23:00:00,MANHATTAN,INSIDE,23,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,18-24,M,WHITE HISPANIC,<18,F,WHITE HISPANIC,998746,230395,40.799045,-73.947642,POINT (-73.947642 40.799045)
261397465,01/04/2023,18:40:00,MANHATTAN,INSIDE,7,0,COMMERCIAL,SMALL MERCHANT,N,(null),(null),(null),25-44,M,WHITE HISPANIC,988292,201010,40.718403,-73.985418,POINT (-73.985418 40.718403)
264266620,02/25/2023,22:58:00,BRONX,OUTSIDE,44,0,DWELLING,MULTI DWELL - APT BUILD,Y,(null),(null),(null),25-44,M,BLACK,1007972,244066,40.83655,-73.914272,POINT (-73.914272 40.83655)
263211697,02/07/2023,22:25:00,BRONX,OUTSIDE,46,0,STREET,FAST FOOD,N,25-44,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,1011755,250279,,,
264417852,03/01/2023,12:50:00,BRONX,OUTSIDE,47,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,1025439,258185,40.875237,-73.851061,POINT (-73.851061 40.875237)
265750629,03/27/2023,17:30:00,QUEENS,OUTSIDE,114,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,(null),(null),(null),25-44,M,BLACK,1001899,221193,40.773785,-73.936279,POINT (-73.936279 40.773785)
263623274,02/14/2023,11:54:00,BROOKLYN,OUTSIDE,75,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),<18,M,BLACK,1014300,184310,40.672515,-73.89167,POINT (-73.89167 40.672515)
262278067,01/21/2023,00:36:00,MANHATTAN,OUTSIDE,32,0,STREET,(null),N,25-44,M,BLACK,25-44,F,BLACK,999634,235961,40.814322,-73.94442,POINT (-73.94442 40.814322)
263065672,02/04/2023,17:30:00,BRONX,OUTSIDE,46,0,STREET,(null),N,25-44,M,BLACK,45-64,F,BLACK,1006371,250007,40.852859,-73.920037,POINT (-73.920037 40.852859)
265006012,03/12/2023,21:20:00,BROOKLYN,OUTSIDE,72,0,STREET,(null),N,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,979283,172293,40.639581,-74.017896,POINT (-74.017896 40.639581)
262278067,01/21/2023,00:36:00,MANHATTAN,OUTSIDE,32,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,999634,235961,40.814322,-73.94442,POINT (-73.94442 40.814322)
263693795,02/15/2023,14:25:00,QUEENS,INSIDE,106,0,COMMERCIAL,GROCERY/BODEGA,N,25-44,M,BLACK,25-44,M,BLACK,1033051,185949,40.676929,-73.82406,POINT (-73.82406 40.676929)
265124476,03/14/2023,12:50:00,MANHATTAN,OUTSIDE,25,0,STREET,(null),N,(null),(null),(null),<18,M,BLACK,1001068,233533,40.80765394,-73.93924858,POINT (-73.93924858 40.80765394)
263399439,02/10/2023,16:55:00,BROOKLYN,OUTSIDE,60,0,COMMERCIAL,GROCERY/BODEGA,N,(null),(null),(null),25-44,M,BLACK,984503,148779,40.575042,-73.999086,POINT (-73.999086 40.575042)
263503175,02/10/2023,14:29:00,BRONX,OUTSIDE,48,0,STREET,FAST FOOD,Y,45-64,M,WHITE HISPANIC,45-64,M,BLACK,1013973,247558,40.846117,-73.892569,POINT (-73.892569 40.846117)
265522341,03/22/2023,14:34:00,BRONX,OUTSIDE,42,0,STREET,(null),N,18-24,M,WHITE HISPANIC,18-24,M,BLACK,1011721,242158,40.83130042,-73.90073162,POINT (-73.90073162 40.83130042)
265124474,03/14/2023,11:09:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),N,25-44,M,BLACK,25-44,F,BLACK,1015443,180368,40.66169022,-73.88756851,POINT (-73.88756851 40.66169022)
262696073,01/29/2023,17:00:00,MANHATTAN,OUTSIDE,23,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,(null),(null),(null),<18,M,BLACK,1001038,226536,40.78845,-73.939372,POINT (-73.939372 40.78845)
265403528,03/20/2023,21:48:00,BROOKLYN,OUTSIDE,79,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,998237,187027,40.680013,-73.949571,POINT (-73.949571 40.680013)
265674098,03/25/2023,02:38:00,BRONX,OUTSIDE,48,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1015450,247021,40.84463555,-73.88723401,POINT (-73.88723401 40.84463555)
264617751,03/05/2023,16:10:00,QUEENS,OUTSIDE,114,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK,1001899,221193,40.773785,-73.936279,POINT (-73.936279 40.773785)
263693795,02/15/2023,14:25:00,QUEENS,INSIDE,106,0,COMMERCIAL,GROCERY/BODEGA,N,25-44,M,BLACK,45-64,M,ASIAN / PACIFIC ISLANDER,1033051,185949,40.676929,-73.82406,POINT (-73.82406 40.676929)
264266619,02/26/2023,13:26:00,BRONX,OUTSIDE,48,0,STREET,(null),Y,(null),(null),(null),25-44,M,BLACK,1014182,250654,40.85461144,-73.89180071,POINT (-73.89180071 40.85461144)
264250138,02/25/2023,10:02:00,BRONX,OUTSIDE,42,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1014862,244458,40.837603,-73.889368,POINT (-73.889368 40.837603)
262067875,01/17/2023,20:48:00,QUEENS,OUTSIDE,101,0,STREET,(null),N,(null),(null),(null),45-64,F,BLACK,1053470,160236,40.606219,-73.75071,POINT (-73.75071 40.606219)
263623274,02/14/2023,11:54:00,BROOKLYN,OUTSIDE,75,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),45-64,M,BLACK,1014300,184310,40.672515,-73.89167,POINT (-73.89167 40.672515)
261307948,01/03/2023,03:19:00,BROOKLYN,INSIDE,72,0,COMMERCIAL,BAR/NIGHT CLUB,N,25-44,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,982383,177997,40.655237,-74.006726,POINT (-74.006726 40.655237)
263503175,02/10/2023,14:29:00,BRONX,OUTSIDE,48,0,STREET,FAST FOOD,Y,45-64,M,WHITE HISPANIC,25-44,M,BLACK,1013973,247558,40.846117,-73.892569,POINT (-73.892569 40.846117)
262205775,01/19/2023,20:52:00,BRONX,OUTSIDE,41,0,STREET,(null),Y,18-24,M,BLACK,<18,M,BLACK,1012644,236957,40.817024,-73.897415,POINT (-73.897415 40.817024)
264689063,03/07/2023,01:56:00,BROOKLYN,INSIDE,66,0,DWELLING,MULTI DWELL - APT BUILD,N,25-44,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC,982643,170318,40.634162,-74.005786,POINT (-74.005786 40.634162)
265403881,03/20/2023,22:45:00,BROOKLYN,INSIDE,61,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,25-44,M,BLACK,25-44,M,WHITE,1001473,156122,40.595179,-73.937983,POINT (-73.937983 40.595179)
262334290,01/21/2023,22:23:00,BRONX,OUTSIDE,44,0,OTHER,MULTI DWELL - APT BUILD,N,(null),(null),(null),18-24,M,BLACK,1007674,242091,40.83113,-73.915354,POINT (-73.915354 40.83113)
261579694,01/08/2023,04:30:00,BRONX,OUTSIDE,49,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),45-64,M,BLACK,1020230,256150,40.869676,-73.869907,POINT (-73.869907 40.869676)
261254613,01/02/2023,19:38:00,BRONX,OUTSIDE,52,0,STREET,(null),N,18-24,M,WHITE HISPANIC,25-44,F,WHITE HISPANIC,1012886,253829,40.86333,-73.896468,POINT (-73.896468 40.86333)
265681413,03/24/2023,22:30:00,QUEENS,OUTSIDE,109,0,STREET,(null),N,25-44,M,ASIAN / PACIFIC ISLANDER,25-44,M,ASIAN / PACIFIC ISLANDER,1029969,216851,40.761767,-73.834961,POINT (-73.834961 40.761767)
264616551,03/05/2023,18:22:00,BRONX,OUTSIDE,45,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,F,BLACK,1033715,238256,40.820496,-73.821282,POINT (-73.821282 40.820496)
263839261,02/16/2023,23:55:00,STATEN ISLAND,INSIDE,120,0,DWELLING,MULTI DWELL - APT BUILD,Y,<18,M,BLACK HISPANIC,<18,M,BLACK HISPANIC,963050,167318,40.625903,-74.07637,POINT (-74.07637 40.625903)
265417230,03/21/2023,00:40:00,BRONX,OUTSIDE,41,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1012918,240579,40.826963,-73.896413,POINT (-73.896413 40.826963)
263068067,02/05/2023,01:34:00,BROOKLYN,OUTSIDE,67,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1007690,175668,40.648814,-73.915526,POINT (-73.915526 40.648814)
265744133,03/27/2023,11:08:00,BROOKLYN,OUTSIDE,88,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,(null),(null),(null),25-44,M,BLACK,989926,192765,40.695772,-73.979528,POINT (-73.979528 40.695772)
263503175,02/10/2023,14:29:00,BRONX,OUTSIDE,48,0,STREET,FAST FOOD,N,45-64,M,WHITE HISPANIC,18-24,M,BLACK,1013973,247558,40.846117,-73.892569,POINT (-73.892569 40.846117)
261712054,01/10/2023,21:00:00,QUEENS,OUTSIDE,101,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1048790,156423,40.5957862,-73.76760259,POINT (-73.76760259 40.5957862)
262679246,01/28/2023,05:46:00,BRONX,OUTSIDE,44,0,STREET,MULTI DWELL - APT BUILD,N,(null),(null),(null),18-24,M,BLACK,1007072,239961,40.825285,-73.917538,POINT (-73.917538 40.825285)
265187651,03/15/2023,16:48:00,BROOKLYN,INSIDE,67,0,COMMERCIAL,RESTAURANT/DINER,N,(null),(null),(null),25-44,M,BLACK,1007072,176611,40.651406,-73.917753,POINT (-73.917753 40.651406)
262145578,01/18/2023,20:51:00,BRONX,INSIDE,47,0,DWELLING,PVT HOUSE,Y,(null),(null),(null),18-24,M,BLACK,1030239,264466,40.892454,-73.833662,POINT (-73.833662 40.892454)
263787046,02/17/2023,00:27:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,1020019,186879,40.67954414,-73.87104034,POINT (-73.87104034 40.67954414)
263692951,02/15/2023,21:55:00,MANHATTAN,OUTSIDE,33,0,STREET,(null),Y,45-64,M,BLACK,25-44,M,ASIAN / PACIFIC ISLANDER,999318,245037,40.83923231,-73.94554424,POINT (-73.94554424 40.83923231)
265816883,03/28/2023,21:20:00,BROOKLYN,OUTSIDE,79,0,COMMERCIAL,RESTAURANT/DINER,N,18-24,M,BLACK,25-44,M,WHITE HISPANIC,1001031,188116,40.682997,-73.939495,POINT (-73.939495 40.682997)
264144075,02/23/2023,14:52:00,MANHATTAN,OUTSIDE,28,0,STREET,(null),Y,45-64,M,BLACK,45-64,M,BLACK,999409,233697,40.808109,-73.945238,POINT (-73.945238 40.808109)
263141403,02/06/2023,15:01:00,BROOKLYN,OUTSIDE,90,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,18-24,M,BLACK,<18,F,BLACK,1000575,198114,40.710442,-73.941114,POINT (-73.941114 40.710442)
263141402,02/06/2023,10:16:00,BROOKLYN,OUTSIDE,69,0,STREET,MULTI DWELL - APT BUILD,Y,(null),(null),(null),18-24,M,BLACK,1010541,175595,,,
263692952,02/15/2023,17:20:00,BRONX,OUTSIDE,46,0,STREET,(null),Y,18-24,M,BLACK,18-24,M,WHITE HISPANIC,1010638,248020,40.8473932,-73.90462205,POINT (-73.90462205 40.8473932)
265584225,03/23/2023,18:42:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1009904,180751,40.662761,-73.907529,POINT (-73.907529 40.662761)
263503175,02/10/2023,14:29:00,BRONX,OUTSIDE,48,0,STREET,FAST FOOD,Y,25-44,M,WHITE HISPANIC,25-44,M,BLACK,1013973,247558,40.846117,-73.892569,POINT (-73.892569 40.846117)
262270874,01/20/2023,22:25:00,MANHATTAN,INSIDE,5,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,BLACK,45-64,F,WHITE HISPANIC,987136,202242,40.721784,-73.989585,POINT (-73.989585 40.721784)
263429757,02/10/2023,23:25:00,BROOKLYN,INSIDE,88,0,(null),GROCERY/BODEGA,N,(null),(null),(null),45-64,M,WHITE HISPANIC,993569,191897,40.693387,-73.966393,POINT (-73.966393 40.693387)
261907312,01/13/2023,15:13:00,BRONX,INSIDE,42,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK HISPANIC,1014365,242623,40.832568,-73.891172,POINT (-73.891172 40.832568)
262051188,01/17/2023,18:23:00,BRONX,OUTSIDE,49,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK HISPANIC,1024599,256713,40.871202,-73.854105,POINT (-73.854105 40.871202)
264657995,03/06/2023,16:44:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),N,<18,M,BLACK HISPANIC,45-64,M,BLACK HISPANIC,1017703,182860,40.66852195,-73.87941026,POINT (-73.87941026 40.66852195)
265006011,03/11/2023,13:45:00,BROOKLYN,INSIDE,67,0,DWELLING,MULTI DWELL - APT BUILD,Y,(null),(null),(null),25-44,M,BLACK,1002297,175828,40.649267,-73.934961,POINT (-73.934961 40.649267)
262696074,01/29/2023,12:47:00,BROOKLYN,INSIDE,83,0,DWELLING,MULTI DWELL - APT BUILD,Y,25-44,M,BLACK,25-44,M,BLACK,1008352,189038,40.685512,-73.913093,POINT (-73.913093 40.685512)
265006013,03/11/2023,05:40:00,BROOKLYN,INSIDE,79,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,25-44,M,BLACK,45-64,M,BLACK,998286,189884,40.687855,-73.949388,POINT (-73.949388 40.687855)
265339107,03/18/2023,15:45:00,MANHATTAN,OUTSIDE,32,0,STREET,(null),N,<18,M,BLACK,18-24,M,BLACK,997995,235238,40.812339,-73.950343,POINT (-73.950343 40.812339)
265125161,03/14/2023,22:19:00,BROOKLYN,OUTSIDE,71,0,VEHICLE,(null),N,(null),(null),(null),25-44,M,BLACK,997054,181094,40.66372862,-73.95384809,POINT (-73.95384809 40.66372862)
264366464,02/28/2023,02:06:00,MANHATTAN,INSIDE,32,0,DWELLING,MULTI DWELL - APT BUILD,Y,(null),(null),(null),25-44,M,BLACK,1000489,236574,40.816002,-73.941332,POINT (-73.941332 40.816002)
262334290,01/21/2023,22:23:00,BRONX,OUTSIDE,44,0,OTHER,MULTI DWELL - APT BUILD,Y,(null),(null),(null),25-44,M,BLACK,1007674,242091,40.83113,-73.915354,POINT (-73.915354 40.83113)
265246480,03/16/2023,16:22:00,BRONX,OUTSIDE,40,0,STREET,(null),N,(null),(null),(null),<18,M,BLACK,1005235,234883,40.8113504,-73.92419197,POINT (-73.92419197 40.8113504)
261337212,01/04/2023,03:02:00,MANHATTAN,OUTSIDE,25,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,1000482,230365,40.798962,-73.941373,POINT (-73.941373 40.798962)
261643073,01/09/2023,22:00:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),Y,25-44,M,BLACK,45-64,M,BLACK,1010862,178621,40.656911,-73.904087,POINT (-73.904087 40.656911)
261958836,01/15/2023,14:35:00,MANHATTAN,OUTSIDE,25,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK,1001768,234797,40.811123,-73.936714,POINT (-73.936714 40.811123)
263399439,02/10/2023,16:55:00,BROOKLYN,OUTSIDE,60,0,COMMERCIAL,GROCERY/BODEGA,N,(null),(null),(null),<18,M,BLACK,984503,148779,40.575042,-73.999086,POINT (-73.999086 40.575042)
